Alias	Name
MI0000791	hsa-mir-383
MI0000802	hsa-mir-340
MI0000803	hsa-mir-330
MI0000804	hsa-mir-328
MI0000805	hsa-mir-342
MI0000806	hsa-mir-337
MI0000807	hsa-mir-323a
MI0000808	hsa-mir-326
MI0000809	hsa-mir-151a
MI0000810	hsa-mir-135b
MI0000811	hsa-mir-148b
MI0000812	hsa-mir-331
MI0000813	hsa-mir-324
MI0000814	hsa-mir-338
MI0000815	hsa-mir-339
MI0000816	hsa-mir-335
MI0000822	hsa-mir-133b
MI0000824	hsa-mir-325
MI0000825	hsa-mir-345
MI0000826	hsa-mir-346
MI0001145	hsa-mir-384
MI0001150	hsa-mir-196b
MI0001444	hsa-mir-422a
MI0001445	hsa-mir-423
MI0001446	hsa-mir-424
MI0001448	hsa-mir-425
MI0001518	hsa-mir-18b
MI0001519	hsa-mir-20b
MI0001637	hsa-mir-448
MI0001641	hsa-mir-429
MI0001648	hsa-mir-449a
MI0001652	hsa-mir-450a-1
MI0001721	hsa-mir-431
MI0001723	hsa-mir-433
MI0001725	hsa-mir-329-1
MI0001726	hsa-mir-329-2
MI0001729	hsa-mir-451a
MI0001733	hsa-mir-452
MI0001735	hsa-mir-409
MI0002464	hsa-mir-412
MI0002465	hsa-mir-410
MI0002466	hsa-mir-376b
MI0002467	hsa-mir-483
MI0002468	hsa-mir-484
MI0002469	hsa-mir-485
MI0002470	hsa-mir-486
MI0002471	hsa-mir-487a
MI0003123	hsa-mir-488
MI0003124	hsa-mir-489
MI0003125	hsa-mir-490
MI0003126	hsa-mir-491
MI0003127	hsa-mir-511
MI0003129	hsa-mir-146b
MI0003130	hsa-mir-202
MI0003131	hsa-mir-492
MI0003132	hsa-mir-493
MI0003133	hsa-mir-432
MI0003134	hsa-mir-494
MI0003135	hsa-mir-495
MI0003136	hsa-mir-496
MI0003137	hsa-mir-193b
MI0003138	hsa-mir-497
MI0003139	hsa-mir-181d
MI0003140	hsa-mir-512-1
MI0003141	hsa-mir-512-2
MI0003142	hsa-mir-498
MI0003143	hsa-mir-520e
MI0003144	hsa-mir-515-1
MI0003145	hsa-mir-519e
MI0003146	hsa-mir-520f
MI0003147	hsa-mir-515-2
MI0003148	hsa-mir-519c
MI0003149	hsa-mir-520a
MI0003150	hsa-mir-526b
MI0003151	hsa-mir-519b
MI0003152	hsa-mir-525
MI0003153	hsa-mir-523
MI0003154	hsa-mir-518f
MI0003155	hsa-mir-520b
MI0003156	hsa-mir-518b
MI0003157	hsa-mir-526a-1
MI0003158	hsa-mir-520c
MI0003159	hsa-mir-518c
MI0003160	hsa-mir-524
MI0003161	hsa-mir-517a
MI0003162	hsa-mir-519d
MI0003163	hsa-mir-521-2
MI0003164	hsa-mir-520d
MI0003165	hsa-mir-517b
MI0003166	hsa-mir-520g
MI0003167	hsa-mir-516b-2
MI0003168	hsa-mir-526a-2
MI0003169	hsa-mir-518e
MI0003170	hsa-mir-518a-1
MI0003171	hsa-mir-518d
MI0003172	hsa-mir-516b-1
MI0003173	hsa-mir-518a-2
MI0003174	hsa-mir-517c
MI0003175	hsa-mir-520h
MI0003176	hsa-mir-521-1
MI0003177	hsa-mir-522
MI0003178	hsa-mir-519a-1
MI0003179	hsa-mir-527
MI0003180	hsa-mir-516a-1
MI0003181	hsa-mir-516a-2
MI0003182	hsa-mir-519a-2
MI0003183	hsa-mir-499a
MI0003184	hsa-mir-500a
MI0003185	hsa-mir-501
MI0003186	hsa-mir-502
MI0003187	hsa-mir-450a-2
MI0003188	hsa-mir-503
MI0003189	hsa-mir-504
MI0003190	hsa-mir-505
MI0003191	hsa-mir-513a-1
MI0003192	hsa-mir-513a-2
MI0003193	hsa-mir-506
MI0003194	hsa-mir-507
MI0003195	hsa-mir-508
MI0003196	hsa-mir-509-1
MI0003197	hsa-mir-510
MI0003198	hsa-mir-514a-1
MI0003199	hsa-mir-514a-2
MI0003200	hsa-mir-514a-3
MI0003205	hsa-mir-532
MI0003513	hsa-mir-455
MI0003514	hsa-mir-539
MI0003515	hsa-mir-544a
MI0003516	hsa-mir-545
MI0003529	hsa-mir-376a-2
MI0003530	hsa-mir-487b
MI0003556	hsa-mir-551a
MI0003557	hsa-mir-552
MI0003558	hsa-mir-553
MI0003559	hsa-mir-554
MI0003560	hsa-mir-92b
MI0003561	hsa-mir-555
MI0003562	hsa-mir-556
MI0003563	hsa-mir-557
MI0003564	hsa-mir-558
MI0003565	hsa-mir-559
MI0003567	hsa-mir-561
MI0003568	hsa-mir-562
MI0003569	hsa-mir-563
MI0003570	hsa-mir-564
MI0003572	hsa-mir-566
MI0003573	hsa-mir-567
MI0003574	hsa-mir-568
MI0003575	hsa-mir-551b
MI0003576	hsa-mir-569
MI0003577	hsa-mir-570
MI0003578	hsa-mir-571
MI0003579	hsa-mir-572
MI0003580	hsa-mir-573
MI0003581	hsa-mir-574
MI0003582	hsa-mir-575
MI0003583	hsa-mir-576
MI0003584	hsa-mir-577
MI0003585	hsa-mir-578
MI0003586	hsa-mir-579
MI0003587	hsa-mir-580
MI0003588	hsa-mir-581
MI0003589	hsa-mir-582
MI0003590	hsa-mir-583
MI0003591	hsa-mir-584
MI0003592	hsa-mir-585
MI0003593	hsa-mir-548a-1
